symbol,example,note
!,n!
\!,a\!b
#,\def\bar#1{#1^2} \bar{y}
\#,
%,%this is a comment
\%,
&,"\begin{matrix}
   a & b \\
   c & d
\end{matrix}"
\&,
',
\',\text{\'{a}}
(,
),
\(…\),\text{\(\frac a b\)}
\,a\ b
\",\text{\"{a}}
\$,
"\,","a\,\,{b}"
\.,\text{\.{a}}
\:,a\:\:{b}
\;,a\;\;{b}
_,x_i
\_,
\`,\text{\\'{a}}
&#060;,
\=,\text{\\={a}}
>,
[,
],
{,{a}
},{a}
\{,
\},
&#124;,
\&#124;,
~,\text{no~no~no~breaks}
\~,\text{\\~{a}}
\\,"\begin{matrix}
   a & b \\
   c & d
\end{matrix}"
^,x^i
\^,\text{\\^{a}}
\AA,\text{\AA}
\aa,\text{\aa}
\above,,"In master"
\abovewithdelims,
\acute,\acute e
\AE,\text{\AE}
\ae,\text{\ae}
\alef,,"see \aleph"
\aleph,
{align},,"see {aligned}"
{aligned},"\begin{aligned}
   a&=b+c \\
   d+e&=f
\end{aligned}"
{alignat},,"see {alignedat}"
{alignedat},"\begin{alignedat}{2}
   10&x+ &3&y = 2 \\
    3&x+&13&y = 4
\end{alignedat}"
\allowbreak,
\Alpha,
\alpha,
\amalg,
\And,
\and,
\ang,
\angl,
\angle,
\approx,
\approxeq,
\arccos,
\arcctg,
\arcsin,
\arctan,
\arctg,
\arg,
{array},"\begin{array}{cc}
   a & b \\
   c & d
\end{array}"
\array,,"see {array}"
\arraystretch,"\def\arraystretch{1.5}
\begin{array}{cc}
   a & b \\
   c & d
\end{array}"
\Arrowvert,
\arrowvert,
\ast,
\asymp,
\atop,a \atop b
\atopwithdelims,
\backepsilon,
\backprime,
\backsim,
\backsimeq,
\backslash,
\bar,\bar{y}
\barwedge,
\Bbb,"\Bbb{ABC}
KaTeX supports A-Z & k"
\Bbbk,
\bbox,
\bcancel,\bcancel{5}
\because,
\begin,"\begin{matrix}
   a & b \\
   c & d
\end{matrix}"
\begingroup,\begingroup a}
\Beta,
\beta,
\beth,
\between,
\bf,\bf AaBb12
\big,\big(\big)
\Big,\Big(\Big)
\bigcap,
\bigcirc,
\bigcup,
\bigg,\bigg(\bigg)
\Bigg,\Bigg(\Bigg)
\biggl,\biggl(
\Biggl,\Biggl(
\biggm,\biggm\vert
\Biggm,\Biggm\vert
\biggr,\biggr)
\Biggr,\Biggr)
\bigl,\bigl(
\Bigl,\Bigl(
\bigm,\bigm\vert
\Bigm,\Bigm\vert
\bigodot,
\bigominus,,"<a href='https://github.com/Khan/KaTeX/issues/1222' target='_blank'>Issue #1222</a>"
\bigoplus,
\bigoslash,,"<a href='https://github.com/Khan/KaTeX/issues/1222' target='_blank'>Issue #1222</a>"
\bigotimes,
\bigr,\bigr)
\Bigr,\Bigr)
\bigsqcap,,"<a href='https://github.com/Khan/KaTeX/issues/1222' target='_blank'>Issue #1222</a>"
\bigsqcup,
\bigstar,
\bigtriangledown,
\bigtriangleup,
\biguplus,
\bigvee,
\bigwedge,
\binom,\binom n k
\blacklozenge,
\blacksquare,
\blacktriangle,
\blacktriangledown,
\blacktriangleleft,
\blacktriangleright,
\bm,\bm{AaBb}
{Bmatrix},"\begin{Bmatrix}
   a & b \\
   c & d
\end{Bmatrix}"
{bmatrix},"\begin{bmatrix}
   a & b \\
   c & d
\end{bmatrix}"
\bmod,a \bmod b
\bold,\bold{AaBb123}
\boldsymbol,\boldsymbol{AaBb}
\bot,
\bowtie,
\Box,
\boxdot,
\boxed,\boxed{ab}
\boxminus,
\boxplus,
\boxtimes,
\brace,,"In master"
\bracevert,
\brack,,"In master"
\breve,\breve{eu}
\buildrel,
\bull,,"See \bullet"
\bullet,
\Bumpeq,
\bumpeq,
\C,,"See \Bbb{C}"
\cal,,"See \mathcal"
\cancel,\cancel{5}
\cancelto,
\Cap,
\cap,
{cases},"\begin{cases}
   a &\text{if } b  \\
   c &\text{if } d
\end{cases}"
\cases,,"see {cases}"
{CD},
\cdot,
\cdotp,
\cdots,
\ce,,"A PR is pending"
\cee,,"Deprecated by mhchem"
\centerdot,a\centerdot b
\cf,,"Deprecated by mhchem"
\cfrac,\cfrac{2}{1+\cfrac{2}{1+\cfrac{2}{1}}}
\check,\check{oe}
\ch,
\checkmark,
\Chi,
\chi,
\choose,{n+1 \choose k+2}
\circ,
\circeq,
\circlearrowleft,
\circlearrowright,
\circledast,
\circledcirc,
\circleddash,
\circledR,
\circledS,
\class,,"A PR is pending."
\cline,,"<a href='https://github.com/Khan/KaTeX/issues/269' target='_blank'>Issue #269</a>"
\clubs,
\clubsuit,
\cnums,
\colon,
\Colonapprox,
\colonapprox,
\Coloneq,
\coloneq,
\Coloneqq,
\coloneqq,
\Colonsim,
\colonsim,
\color,\color{#0000FF} AaBb123
\colorbox,\colorbox{red}{Black on red}
\complement,
\Complex,
\cong,
\Coppa,
\coppa,
\coprod,
\copyright,
\cos,
\cosec,
\cosh,
\cot,
\cotg,
\coth,
\cr,"\begin{matrix}
   a & b \cr
   c & d
\end{matrix}"
\csc,
\cssId,,"A PR is pending."
\ctg,
\cth,
\Cup,
\cup,
\curlyeqprec,
\curlyeqsucc,
\curlyvee,
\curlywedge,
\curvearrowleft,
\curvearrowright,
\dag,
\Dagger,
