symbol,example
array,"\begin{array}{rr}
aaa & b\cr
c   & ddd
\end{array}"
matrix,"\begin{Bmatrix}
aaa & b\cr
c   & ddd
\end{Bmatrix}"
bmatrix,"\begin{bmatrix}
aaa & b\cr
c   & ddd
\end{bmatrix}"
Bmatrix,"\begin{Bmatrix}
aaa & b\cr
c   & ddd
\end{Bmatrix}"
pmatrix,"\begin{pmatrix}
aaa & b\cr
c   & ddd
\end{pmatrix}"
vmatrix,"\begin{vmatrix}
aaa & b\cr
c   & ddd
\end{vmatrix}"
Vmatrix,"\begin{Vmatrix}
aaa & b\cr
c   & ddd
\end{Vmatrix}"
\cases,
\sqrt,
\text,\text{ Carol }\&\text{ Julia }
\color,
\overline,\overline{\text{a long argument}}
\rule,x\rule{3px}{2ex}{1ex}x
\KaTeX,
\bigl,\bigl(
\Bigl,\Bigl(
\biggl,\biggl(
\Biggl,\Biggl(
\bigr,\bigr)
\Bigr,\Bigr)
\biggr,\biggr)
\Biggr,\Biggr)
\bigm,\bigm|
\Bigm,\Bigm|
\biggm,\biggm|
\Biggm,\Biggm|
\big,\big(\big)
\Big,\Big(\Big)
\bigg,\bigg(\bigg)
\Bigg,\Bigg(\Bigg)
\left,\left(
\right,\right)
\arcsin,
\arccos,
\arctan,
\arg,
\cos,
\cosh,
\cot,
\coth,
\csc,
\deg,
\dim,
\exp,
\hom,
\ker,
\lg,
\ln,
\log,
\sec,
\sin,
\sinh,
\tan,
\tanh,
\det,
\gcd,
\inf,
\lim,
\liminf,
\limsup,
\max,
\min,
\Pr,
\sup,
\int,
\iint,
\iiint,
\oint,
\coprod,
\bigvee,
\bigwedge,
\biguplus,
\bigcap,
\bigcup,
\curlyvee,
\curlywedge,
\doublecap,
\doublecup,
\intop,
\prod,
\sum,
\bigotimes,
\bigoplus,
\bigodot,
\bigsqcup,
\smallint,
\over,
\frac,
\dfrac,
\tfrac,
\choose,
\binom,\binom n k
\dbinom,\dbinom n k
\tbinom,\tbinom n k
\rlap,
\llap,a\mathrel{{=}\llap{/\,}}b
\tiny,
\scriptsize,
\footnotesize,
\small,
\normalsize,
\large,
\Large,
\LARGE,
\huge,
\Huge,
\displaystyle,
\textstyle,
\scriptstyle,
\scriptscriptstyle,
\limits,
\nolimits,
\acute,
\grave,
\ddot,
\tilde,\tilde M
\bar,
\breve,\breve{eu}
\check,
\hat,
\vec,\vec{AB}
\dot,
\$,
\%,
\#,
\&,
\_,
\colon,
\Gamma,
\Delta,
\Theta,
\Lambda,
\Xi,
\Pi,
\Sigma,
\Upsilon,
\Phi,
\Psi,
\Omega,
\alpha,
\beta,
\gamma,
\delta,
\epsilon,
\zeta,
\eta,
\theta,
\iota,
\kappa,
\lambda,
\mu,
\nu,
\xi,
\omicron,
\pi,
\rho,
\sigma,
\tau,
\upsilon,
\phi,
\chi,
\psi,
\omega,
\varepsilon,
\vartheta,
\varpi,
\varrho,
\varsigma,
\varphi,
\cdot,
\circ,
\div,
\pm,
\times,
\approx,
\cong,
\ge,
\geq,
\le,
\leq,
\ne,
\neq,
\ngeq,
\nleq,
\in,
\gets,
\leftarrow,
\LeftArrow,
\leftrightarrow,
\Leftrightarrow,
\rightarrow,
\Rightarrow,
\nleftarrow,
\nLeftarrow,
\nleftrightarrow,
\nLeftrightarrow,
\nrightarrow,
\nRightarrow,
\to,
\mathrm,
\mathit,\mathit{AaBb123}
\mathbf,
\mathbb,\mathbb{AaBb123}
\mathcal,
\mathfrak,\mathbb{AaBb123}
\mathscr,\mathscr{AaBb123}
\mathsf,
\mathtt,
\Bbb,
\bold,\bold{AaBb123}
\frak,
\!,
\ ,
"\,",
\:,
\;,
\enspace,
\qquad,
\quad,
\space,
\phantom,\Gamma^{\phantom{i}j}_{i\phantom{j}k}
\circledast,
\circledcirc,
\circleddash,
\circledS,
\circledR,
\odot,
\oplus,
\otimes,
\oslash,
\surd,
\barwedge,
\veebar,
\Box,
\boxdot,
\bigtriangleup,
\bigtriangledown,
\checkmark,
\dagger,
\diamond,
\Diamond,
\star,
\triangleleft,
\triangleright,
\angle,
\infty,
\prime,
\triangle,
\yen,
\imath,
\jmath,
\{,
\},
\lbrace,
\rbrace,
\lbrack,
\rbrack,
\lfloor,
\rfloor,
\lceil,
\rceil,
\backslash,
\vert,
\|,
\Vert,
\uparrow,
\Uparrow,
\downarrow,
\Downarrow,
\updownarrow,
\Updownarrow,
\langle,
\lvert,
\rangle,
\rvert,
\lgroup,
\rgroup,
\lmoustache,
\rmoustache,
