symbol,example
#,\gdef\bar#1{#1^2} \bar{y} + \bar{y}
%,"%this is a single-line comment
"
&,"\begin{matrix}
a & b\cr
c & d
\end{matrix}"
^,x^i
_,x_i
{,\{
},\}
~,Dr.~Carol~J.V.~Fisher
',
"\,","|\,|"
\!,|\!|
\$,
\&,
\:,|\:|
\>,
\_,
\|,
\above,a+1 \above 1pt b
\acute,\acute e
\alpha,
\And,
\approx,
\arccos,
\arctan,
\array,\array{ a & b+1 \cr c+1 & d }
\arrowvert,
\asymp,
\atopwithdelims,a \atopwithdelims [ ] b
\backepsilon,
\backprime,
\backsim,
\backsimeq,
\backslash,
\bar,\bar{xy}
\Bbb,\Bbb{AaBb123}
\bbox,
\bcancel,\frac{\bcancel{\frac13}}{\bcancel{\frac13}} = 1
\because,
\begin,"\begin{aligned}
(a+b)^2 &= (a+b)(a+b)           \\
        &= a^2 + ab + ba + b^2  \\
        &= a^2 + 2ab + b^2  
\end{aligned}"
\end,"\begin{aligned}
(a+b)^2 &= (a+b)(a+b)           \\
        &= a^2 + ab + ba + b^2  \\
        &= a^2 + 2ab + b^2  
\end{aligned}"
\beta,
\between,
\bf,\bf ab
\big,\big[\big]
\bigcirc,
\Bigg,\Bigg[\Bigg]
\Biggl,\Biggl[
\Biggm,x\Biggm| y
\Biggr,\Biggr]
\Bigl,\Bigl[
\Bigm,x\Bigm| y
\bigodot,
\bigotimes,
\bigr,\bigr]
\bigstar,
\bigtriangledown,
\biguplus,
\bigwedge,
\blacklozenge,
\blacksquare,
\blacktriangle,
\blacktriangledown,
\blacktriangleleft,
\blacktriangleright,
\bmod, a \bmod b
\bot,
\Box,
\boxdot,
\boxed,\boxed{ab}
\boxminus,
\boxplus,
\boxtimes,
\brace,a+b+c\brace d+e+f
\brack,a+b+c\brack d+e+f
\buildrel,\buildrel \alpha\beta \over \longrightarrow
\Bumpeq,
\bumpeq,
\cal,\cal AaBb123
\cancelto,\cancelto{0}{x}
\cap,
\cases,"|x| = \cases{
          x  & \text{if } x\ge 0\cr
          -x & \text{if } x\lt 0 }"
\cdotp,
\ce,\ce{O2}
\cee, \cee{ ^{14}_7N + n -> ^{11}_5B  + ^4_2H }
\centerdot,a\centerdot b
\cf,\cf{if\ false\ then\ 0\ else\ succ\ 0 : Nat}
\cfrac,\cfrac{2}{1+\cfrac{2}{1+\cfrac{2}{1}}}
\check,\check{oe}
\chi,
\circ,
\circlearrowleft,
\circlearrowright,
\circledast,
\circledcirc,
\circleddash,
\circledR,
\circledS,
\class,ab\class{smHighlightRed}{cdef}gh
\clubsuit,
\color,\color{#0000FF}{AaBb123}
\colorbox,\colorbox{red}{Black text on red background}
\complement,
\cong,
\cos,
\cot,
\cr,"\begin{matrix}
    a & b\cr
    c & d
    \end{matrix}"
\tag, \tag{3.1c}
\cssId,\cssId{testID}{testContent}
\cup,
\curlyeqprec,
\curlyeqsucc,
\curlyvee,
\curlywedge,
\curvearrowleft,
\curvearrowright,
\dagger,
\dashleftarrow,
\dashrightarrow,
\dashv,
\ddagger,
\dddot,\dddot x
\ddot,\ddot x
\DeclareMathOperator,\DeclareMathOperator {\myOp}{myOp} \cr \myOp(x)
\definecolor,\definecolor{americanrose}{rgb}{1.0, 0.01, 0.24}
\def,\def\foo{x^2} \foo + \foo
\deg,
\delta,
\dfrac,\dfrac{a-1}{b-1}
\diagdown,
\diagup,
\diamond,
\diamondsuit,
\dim,
\displaystyle,
\divideontimes,
\dot,\dot x
\Doteq,
\doteqdot,
\dotplus,
\dots,"\begin{array}{c}
x_1, \dots, x_n \cr
x_1 + \dots + x_n
\end{array}"
\cdots,
\ldots,
\dotsb,"\begin{array}{c}
\text{dots with binary operations and relations:} \cr\cr
x_1 + x_2 +\dotsb + x_n \cr
x_1 + x_2 +\dotsb + x_n
\end{array}"
\dotsc,"\begin{array}{c}
\text{dots with commas:} \cr\cr
x_1,x_2,\dotsc,x_n \cr
x_1,x_2,\dots,x_n
\end{array}"
\dotsi,"\begin{array}{c}
\text{dots with integrals:} \cr\cr
\int_{A_1}\int_{A_2}\dotsi\int_{A_n} \cr
\int_{A_1}\int_{A_2}\dots\int_{A_n}
\end{array}"
\dotsm,"\begin{array}{c}
\text{dots with multiplication:} \cr\cr
x_1x_2\dotsm x_n \cr
x_1x_2\dots x_n
\end{array}"
\dotso,"\begin{array}{c}
\text{other dots:} \cr\cr
A_1\dotso A_n \cr
A_1\dots A_n
\end{array}"
\doublebarwedge,
\doublecap,
\doublecup,
\Downarrow,
\downdownarrows,
\downharpoonleft,
\downharpoonright,
\ell,
\enclose,"\enclose{bottom,circle,top}{x}"
\end,\begin{matrix} a & b\cr c & d \end{matrix}
\enspace,|\enspace|
